ht, bear, bid, cmd, dt
-1000, -1000, -1000, 0, 0.0333333350718
-1000, -1000, -1000, 0, 0.0333333350718
-1000, -1000, -1000, 0, 0.0333333350718
-1000, -1000, -1000, 0, 0.0333333350718
-1000, -1000, -1000, 0, 0.0333333350718
-1000, -1000, -1000, 0, 0.0333333350718
-1000, -1000, -1000, 0, 0.0333333350718
17.8050842285, -0.570484220982, 1, 0, 0.0333333350718
-1000, -1000, -1000, 0, 0.0333333350718
17.8238391876, -0.45118907094, 1, 0, 0.0333333350718
17.8348636627, -0.339016497135, 1, 0, 0.0333333350718
-1000, -1000, -1000, 0, 0.0333333350718
-1000, -1000, -1000, 0, 0.0333333350718
17.875, -0.426717162132, 1, 0, 0.0333333350718
17.890630722, -0.329639345407, 1, 0, 0.0333333350718
17.9070053101, -0.345548540354, 1, 0, 0.0333333350718
-1000, -1000, -1000, 0, 0.0333333350718
17.9383773804, -0.272243350744, 1, 0, 0.0333333350718
17.9540634155, -0.358332574368, 1, 0, 0.0333333350718
-1000, -1000, -1000, 0, 0.0333333350718
17.9885368347, -0.241418406367, 1, 0, 0.0333333350718
-1000, -1000, -1000, 0, 0.0333333350718
-1000, -1000, -1000, 0, 0.0333333350718
-1000, -1000, -1000, 0, 0.0333333350718
-1000, -1000, -1000, 0, 0.0333333350718
18.0905895233, -0.0184462089092, 1, 0, 0.0333333350718
18.1123332977, 0.0808180123568, 1, 0, 0.0333333350718
-1000, -1000, -1000, 0, 0.0333333350718
-1000, -1000, -1000, 0, 0.0333333350718
18.1841659546, 0.279869049788, 1, 0, 0.0333333350718
18.2128925323, 0.235860511661, 1, 0, 0.0333333350718
18.2358093262, 0.158303901553, 1, 0, 0.0333333350718
18.2624340057, 0.219375774264, 1, 0, 0.0333333350718
18.287689209, 0.161719843745, 1, 0, 0.0333333350718
18.3142948151, 0.159957662225, 1, 0, 0.0333333350718
-1000, -1000, -1000, 0, 0.0333333350718
18.3715343475, 0.190338283777, 1, 0, 0.0333333350718
18.4018630981, 0.278730154037, 1, 0, 0.0333333350718
18.4339962006, 0.353352695704, 1, 0, 0.0333333350718
18.460477829, 0.492340296507, 1, 0, 0.0333333350718
33.1551589966, -0.33488291502, 3, 0, 0.0333333350718
33.2374649048, -0.276359945536, 3, 0, 0.0333333350718
-1000, -1000, -1000, 0, 0.0333333350718
-1000, -1000, -1000, 0, 0.0333333350718
33.5475845337, -0.15183134377, 3, 0, 0.0333333350718
33.6487388611, -0.090041719377, 3, 0, 0.0333333350718
33.773021698, -0.129146084189, 3, 0, 0.0333333350718
33.8759460449, -0.177617684007, 3, 0, 0.0333333350718
33.9840087891, -0.104751005769, 3, 0, 0.0333333350718
34.0850715637, -0.116250820458, 3, 0, 0.0333333350718
34.2044754028, -0.140785634518, 3, 0, 0.0333333350718
-1000, -1000, -1000, 0, 0.0333333350718
34.4591712952, -0.108531139791, 3, 0, 0.0333333350718
-1000, -1000, -1000, 0, 0.0333333350718
34.6696777344, 0.163661807775, 3, 0, 0.0333333350718
34.798740387, 0.133515998721, 3, 0, 0.0333333350718
34.9375648499, 0.339579254389, 3, 0, 0.0333333350718
17.7544746399, -0.474433898926, 5, 0, 0.0333333350718
-1000, -1000, -1000, 0, 0.0333333350718
17.8239650726, -0.320460408926, 5, 0, 0.0333333350718
17.8503990173, -0.310898542404, 5, 0, 0.0333333350718
-1000, -1000, -1000, 0, 0.0333333350718
17.9158477783, -0.30879431963, 5, 0, 0.0333333350718
17.9432888031, -0.220326647162, 5, 0, 0.0333333350718
17.9802207947, -0.280615359545, 5, 0, 0.0333333350718
18.0111293793, -0.23760125041, 5, 0, 0.0333333350718
18.0431842804, -0.193011388183, 5, 0, 0.0333333350718
-1000, -1000, -1000, 0, 0.0333333350718
-1000, -1000, -1000, 0, 0.0333333350718
18.1445484161, -0.162509948015, 5, 0, 0.0333333350718
18.1758136749, -0.0822537243366, 5, 0, 0.0333333350718
-1000, -1000, -1000, 0, 0.0333333350718
18.2386951447, 0.229194313288, 5, 0, 0.0333333350718
18.2730827332, 0.356260746717, 5, 0, 0.0333333350718
18.3100299835, 0.461680591106, 5, 0, 0.0333333350718
-1000, -1000, -1000, 0, 0.0333333350718
-1000, -1000, -1000, 0, 0.0333333350718
-1000, -1000, -1000, 0, 0.0333333350718
-1000, -1000, -1000, 0, 0.0333333350718
-1000, -1000, -1000, 0, 0.0333333350718
-1000, -1000, -1000, 0, 0.0333333350718
